Region,Country,Year,Month,Day,Elevation (m),Wind (Beaufort),Temperature (°C),Precipitation (mm),Daily Snow Depth (cm),Monthly Snow Depth (cm),Mean Snow Depth (cm),Max Snow Depth (cm),Days where AVG Temp < 0C
Adelboden,Switzerland,2000,1,,,,,,,71,49.5806451612903,86,31
Adelboden,Switzerland,2000,2,,,,,,,93,40.1379310344828,69,29
Adelboden,Switzerland,2000,3,,,,,,,63,19.1290322580645,56,28
Adelboden,Switzerland,2000,4,,,,,,,10,0.366666666666667,4,5
Adelboden,Switzerland,2000,5,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2000,10,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2000,11,,,,,,,58,5.46666666666667,28,18
Adelboden,Switzerland,2000,12,,,,,,,62,5.93548387096774,27,17
Adelboden,Switzerland,2001,1,,,,,,,104,26.0322580645161,51,31
Adelboden,Switzerland,2001,2,,,,,,,40,14.3571428571429,31,28
Adelboden,Switzerland,2001,3,,,,,,,43,3.58064516129032,22,15
Adelboden,Switzerland,2001,4,,,,,,,164,9.23333333333333,34,20
Adelboden,Switzerland,2001,5,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2001,10,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2001,11,,,,,,,75,9.13333333333333,39,23
Adelboden,Switzerland,2001,12,,,,,,,56,7.29032258064516,32,23
Adelboden,Switzerland,2002,1,,,,,,,7,11.9354838709677,17,30
Adelboden,Switzerland,2002,2,,,,,,,130,13.75,48,21
Adelboden,Switzerland,2002,3,,,,,,,30,6.06451612903226,32,15
Adelboden,Switzerland,2002,4,,,,,,,22,0.8,10,6
Adelboden,Switzerland,2002,5,,,,,,,9,0.387096774193548,5,4
Adelboden,Switzerland,2002,10,,,,,,,3,0.0967741935483871,2,2
Adelboden,Switzerland,2002,11,,,,,,,44,2.56666666666667,29,11
Adelboden,Switzerland,2002,12,,,,,,,36,4.48387096774194,18,22
Adelboden,Switzerland,2003,1,,,,,,,135,17.9032258064516,74,29
Adelboden,Switzerland,2003,2,,,,,,,111,64.9642857142857,96,28
Adelboden,Switzerland,2003,3,,,,,,,22,22.7096774193548,51,24
Adelboden,Switzerland,2003,4,,,,,,,41,2.2,25,6
Adelboden,Switzerland,2003,5,,,,,,,2,0.0645161290322581,2,1
Adelboden,Switzerland,2003,10,,,,,,,32,1.93548387096774,13,10
Adelboden,Switzerland,2003,11,,,,,,,56,3.53333333333333,39,5
Adelboden,Switzerland,2003,12,,,,,,,82,11.6451612903226,34,19
Adelboden,Switzerland,2004,1,,,,,,,102,26.3870967741936,43,31
Adelboden,Switzerland,2004,2,,,,,,,62,24.3448275862069,39,29
Adelboden,Switzerland,2004,3,,,,,,,122,23.6774193548387,45,31
Adelboden,Switzerland,2004,4,,,,,,,49,3.23333333333333,19,9
Adelboden,Switzerland,2004,5,,,,,,,42,2.35483870967742,24,6
Adelboden,Switzerland,2004,10,,,,,,,3,0.0967741935483871,2,2
Adelboden,Switzerland,2004,11,,,,,,,22,1.56666666666667,10,18
Adelboden,Switzerland,2004,12,,,,,,,78,10.741935483871,49,15
Adelboden,Switzerland,2005,1,,,,,,,125,38.8064516129032,73,31
Adelboden,Switzerland,2005,2,,,,,,,142,66.9285714285714,88,28
Adelboden,Switzerland,2005,3,,,,,,,29,44.9032258064516,78,27
Adelboden,Switzerland,2005,4,,,,,,,59,4.36666666666667,33,11
Adelboden,Switzerland,2005,5,,,,,,,3,0.0967741935483871,3,1
Adelboden,Switzerland,2005,10,,,,,,,2,0.0645161290322581,2,1
Adelboden,Switzerland,2005,11,,,,,,,16,2.13333333333333,10,14
Adelboden,Switzerland,2005,12,,,,,,,83,26.741935483871,55,31
Adelboden,Switzerland,2006,1,,,,,,,42,39.8387096774194,52,31
Adelboden,Switzerland,2006,2,,,,,,,62,40.4285714285714,56,28
Adelboden,Switzerland,2006,3,,,,,,,133,43.5161290322581,73,31
Adelboden,Switzerland,2006,4,,,,,,,53,3.33333333333333,22,9
Adelboden,Switzerland,2006,5,,,,,,,20,0.645161290322581,12,3
Adelboden,Switzerland,2006,10,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2006,11,,,,,,,9,0.366666666666667,8,3
Adelboden,Switzerland,2006,12,,,,,,,87,18.4193548387097,57,25
Adelboden,Switzerland,2007,1,,,,,,,60,7.90322580645161,46,18
Adelboden,Switzerland,2007,2,,,,,,,53,4.57142857142857,23,19
Adelboden,Switzerland,2007,3,,,,,,,65,6.35483870967742,25,15
Adelboden,Switzerland,2007,4,,,,,,,8,0.4,8,2
Adelboden,Switzerland,2007,5,,,,,,,17,0.838709677419355,11,3
Adelboden,Switzerland,2007,10,,,,,,,1,0.032258064516129,1,1
Adelboden,Switzerland,2007,11,,,,,,,72,10.8,46,22
Adelboden,Switzerland,2007,12,,,,,,,144,27.3548387096774,52,31
Adelboden,Switzerland,2008,1,,,,,,,39,15.4838709677419,32,31
Adelboden,Switzerland,2008,2,,,,,,,31,15.1379310344828,28,27
Adelboden,Switzerland,2008,3,,,,,,,118,10.7741935483871,28,24
Adelboden,Switzerland,2008,4,,,,,,,51,2.16666666666667,21,10
Adelboden,Switzerland,2008,5,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2008,10,,,,,,,42,2.38709677419355,28,5
Adelboden,Switzerland,2008,11,,,,,,,75,11.7,48,14
Adelboden,Switzerland,2008,12,,,,,,,114,42.4838709677419,66,31
Adelboden,Switzerland,2009,1,,,,,,,64,42.0322580645161,55,31
Adelboden,Switzerland,2009,2,,,,,,,185,67.3928571428571,105,28
Adelboden,Switzerland,2009,3,,,,,,,171,78.8709677419355,107,31
Adelboden,Switzerland,2009,4,,,,,,,10,11.4333333333333,61,13
Adelboden,Switzerland,2009,5,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2009,10,,,,,,,12,0.548387096774194,8,3
Adelboden,Switzerland,2009,11,,,,,,,30,1.36666666666667,16,7
Adelboden,Switzerland,2009,12,,,,,,,127,27.1290322580645,69,31
Adelboden,Switzerland,2010,1,,,,,,,71,26.8064516129032,42,31
Adelboden,Switzerland,2010,2,,,,,,,75,46.3571428571429,61,28
Adelboden,Switzerland,2010,3,,,,,,,36,19.9677419354839,40,26
Adelboden,Switzerland,2010,4,,,,,,,22,0.833333333333333,8,6
Adelboden,Switzerland,2010,5,,,,,,,0,0.0,0,0
Adelboden,Switzerland,2010,10,,,,,,,39,2.67741935483871,25,9
Adelboden,Switzerland,2010,11,,,,,,,83,10.4,32,17
Adelboden,Switzerland,2010,12,,,,,,,86,18.0,34,31
Adelboden,Switzerland,2011,1,,,,,,,25,13.258064516129,23,31
Adelboden,Switzerland,2011,2,,,,,,,64,7.39285714285714,43,25
