Date,Region,Country,Elevation (m),Wind (Beaufort),Temperature (°C),Precipitation (mm),Snow Depth (cm)
2025-09-17,Garmisch-Partenkirchen,Germany,750,6,18.9,0,0
2025-09-17,Oberstdorf,Germany,813,6,16.9,7,0
2025-09-17,Berchtesgaden,Germany,518,5,23.3,0,0
2025-09-17,Feldberg,Germany,1493,6,13.2,0,0
2025-09-17,Innsbruck,Austria,574,3,23.7,19.6,0
2025-09-17,St. Anton am Arlberg,Austria,1304,6,16.2,0,0
2025-09-17,Kitzbühel,Austria,762,3,16.9,0,0
2025-09-17,Salzburg,Austria,424,6,19.8,0,0
2025-09-17,Bad Gastein,Austria,1002,5,14.5,0,0
2025-09-17,Zermatt,Switzerland,1620,4,19.6,0,8
2025-09-17,St. Moritz,Switzerland,1856,6,5,0,5
2025-09-17,Verbier,Switzerland,1500,5,8.5,0,0
2025-09-17,Davos,Switzerland,1560,4,2.5,0,20
2025-09-17,Interlaken,Switzerland,568,6,20.6,13.4,0
2025-09-16,Garmisch-Partenkirchen,Germany,750,4,12.3,0,0
2025-09-16,Oberstdorf,Germany,813,5,21.5,0,0
2025-09-16,Berchtesgaden,Germany,518,5,27.6,0,0
2025-09-16,Feldberg,Germany,1493,5,21.3,0,0
2025-09-16,Innsbruck,Austria,574,6,19.2,0,0
2025-09-16,St. Anton am Arlberg,Austria,1304,6,11.5,0,0
2025-09-16,Kitzbühel,Austria,762,4,21.9,0,0
2025-09-16,Salzburg,Austria,424,4,14.3,0,0
2025-09-16,Bad Gastein,Austria,1002,5,16.6,0,0
2025-09-16,Zermatt,Switzerland,1620,5,5.3,0.6,8
2025-09-16,St. Moritz,Switzerland,1856,5,14.8,0,8
2025-09-16,Verbier,Switzerland,1500,4,19.5,0,0
2025-09-16,Davos,Switzerland,1560,7,8.2,0,14
2025-09-16,Interlaken,Switzerland,568,4,14.1,14.3,0
2025-09-15,Garmisch-Partenkirchen,Germany,750,5,13.7,17.2,0
2025-09-15,Oberstdorf,Germany,813,6,17.5,15.2,0
2025-09-15,Berchtesgaden,Germany,518,3,26.2,0,0
2025-09-15,Feldberg,Germany,1493,4,11.6,0,0
2025-09-15,Innsbruck,Austria,574,4,19.1,8.5,0
2025-09-15,St. Anton am Arlberg,Austria,1304,6,14.7,0,0
2025-09-15,Kitzbühel,Austria,762,7,19.6,14,0
2025-09-15,Salzburg,Austria,424,5,11.5,6.5,0
2025-09-15,Bad Gastein,Austria,1002,5,21.9,7.1,0
2025-09-15,Zermatt,Switzerland,1620,6,16,0,4
2025-09-15,St. Moritz,Switzerland,1856,7,22.4,0,8
2025-09-15,Verbier,Switzerland,1500,4,10.6,0,0
2025-09-15,Davos,Switzerland,1560,4,11.6,0,6
2025-09-15,Interlaken,Switzerland,568,5,27.2,0,0
2025-09-14,Garmisch-Partenkirchen,Germany,750,4,20.2,0,0
2025-09-14,Oberstdorf,Germany,813,5,24.4,5.2,0
2025-09-14,Berchtesgaden,Germany,518,7,20.2,20.7,0
2025-09-14,Feldberg,Germany,1493,7,18.1,0,0
2025-09-14,Innsbruck,Austria,574,6,22.4,0,0
2025-09-14,St. Anton am Arlberg,Austria,1304,5,12.8,19.4,0
2025-09-14,Kitzbühel,Austria,762,4,15.3,0,0
2025-09-14,Salzburg,Austria,424,6,9.1,0,0
2025-09-14,Bad Gastein,Austria,1002,4,13.1,1.1,0
2025-09-14,Zermatt,Switzerland,1620,7,11.5,11.9,21
2025-09-14,St. Moritz,Switzerland,1856,6,6,0,22
2025-09-14,Verbier,Switzerland,1500,4,16.7,8.5,0
2025-09-14,Davos,Switzerland,1560,4,18.3,14.8,7
2025-09-14,Interlaken,Switzerland,568,4,22.6,0,0
2025-09-13,Garmisch-Partenkirchen,Germany,750,6,14.4,0,0
2025-09-13,Oberstdorf,Germany,813,4,22.3,0,0
2025-09-13,Berchtesgaden,Germany,518,3,20.9,0,0
2025-09-13,Feldberg,Germany,1493,4,11.6,0,0
2025-09-13,Innsbruck,Austria,574,6,17.2,0,0
2025-09-13,St. Anton am Arlberg,Austria,1304,4,16.3,0,0
2025-09-13,Kitzbühel,Austria,762,5,16.3,0,0
2025-09-13,Salzburg,Austria,424,5,23.4,0,0
2025-09-13,Bad Gastein,Austria,1002,4,23.8,0,0
2025-09-13,Zermatt,Switzerland,1620,5,5.2,0,17
2025-09-13,St. Moritz,Switzerland,1856,6,2.7,15,7
2025-09-13,Verbier,Switzerland,1500,4,13,15.3,0
2025-09-13,Davos,Switzerland,1560,4,14.1,0,2
2025-09-13,Interlaken,Switzerland,568,6,17.6,3.5,0
2025-09-12,Garmisch-Partenkirchen,Germany,750,3,28,0,0
2025-09-12,Oberstdorf,Germany,813,4,24.5,0,0
2025-09-12,Berchtesgaden,Germany,518,5,24.9,0,0
2025-09-12,Feldberg,Germany,1493,7,4.5,0,0
2025-09-12,Innsbruck,Austria,574,5,18.3,3.4,0
2025-09-12,St. Anton am Arlberg,Austria,1304,7,15,0,0
2025-09-12,Kitzbühel,Austria,762,5,19.4,0,0
2025-09-12,Salzburg,Austria,424,5,23.5,0,0
2025-09-12,Bad Gastein,Austria,1002,3,19.9,0,0
2025-09-12,Zermatt,Switzerland,1620,4,18.9,0,10
2025-09-12,St. Moritz,Switzerland,1856,5,4.8,0,5
2025-09-12,Verbier,Switzerland,1500,6,16.8,0,0
2025-09-12,Davos,Switzerland,1560,4,13,0,13
2025-09-12,Interlaken,Switzerland,568,3,19.1,0,0
2025-09-11,Garmisch-Partenkirchen,Germany,750,5,20.6,19.3,0
2025-09-11,Oberstdorf,Germany,813,4,26.8,0,0
2025-09-11,Berchtesgaden,Germany,518,6,14,0,0
2025-09-11,Feldberg,Germany,1493,6,13.9,0,0
2025-09-11,Innsbruck,Austria,574,6,15.5,0,0
2025-09-11,St. Anton am Arlberg,Austria,1304,6,16.3,0,0
2025-09-11,Kitzbühel,Austria,762,6,18.7,0,0
2025-09-11,Salzburg,Austria,424,4,21.2,0,0
2025-09-11,Bad Gastein,Austria,1002,6,15.6,6.8,0
2025-09-11,Zermatt,Switzerland,1620,4,13,5.5,12
2025-09-11,St. Moritz,Switzerland,1856,4,22,0,5
2025-09-11,Verbier,Switzerland,1500,5,13.6,0,0
2025-09-11,Davos,Switzerland,1560,7,21.7,0,1
2025-09-11,Interlaken,Switzerland,568,4,21,0,0
2025-09-10,Garmisch-Partenkirchen,Germany,750,5,18.8,0,0
2025-09-10,Oberstdorf,Germany,813,3,13,0,0
2025-09-10,Berchtesgaden,Germany,518,3,17.5,0,0
2025-09-10,Feldberg,Germany,1493,7,13.6,11.9,0
2025-09-10,Innsbruck,Austria,574,3,17.4,0,0
2025-09-10,St. Anton am Arlberg,Austria,1304,5,18.5,0,0
2025-09-10,Kitzbühel,Austria,762,4,25.4,0,0
2025-09-10,Salzburg,Austria,424,4,15.3,22.6,0
2025-09-10,Bad Gastein,Austria,1002,4,9.6,16.8,0
2025-09-10,Zermatt,Switzerland,1620,5,15.3,0,5
2025-09-10,St. Moritz,Switzerland,1856,5,3.9,0,9
2025-09-10,Verbier,Switzerland,1500,5,4.2,0,0
2025-09-10,Davos,Switzerland,1560,6,12.4,17.3,15
2025-09-10,Interlaken,Switzerland,568,3,21.8,0,0
2025-09-09,Garmisch-Partenkirchen,Germany,750,5,24.1,0,0
2025-09-09,Oberstdorf,Germany,813,6,15.3,0,0
2025-09-09,Berchtesgaden,Germany,518,4,17.2,0,0
2025-09-09,Feldberg,Germany,1493,5,8.2,0,0
2025-09-09,Innsbruck,Austria,574,4,14.4,0,0
2025-09-09,St. Anton am Arlberg,Austria,1304,6,20.6,0,0
2025-09-09,Kitzbühel,Austria,762,4,18.1,0,0
2025-09-09,Salzburg,Austria,424,5,30.6,9.4,0
2025-09-09,Bad Gastein,Austria,1002,6,20.6,0,0
2025-09-09,Zermatt,Switzerland,1620,6,16,0,11
2025-09-09,St. Moritz,Switzerland,1856,4,0.3,0,11
2025-09-09,Verbier,Switzerland,1500,5,23.1,0,0
2025-09-09,Davos,Switzerland,1560,7,15.5,0,5
2025-09-09,Interlaken,Switzerland,568,4,8.9,0,0
2025-09-08,Garmisch-Partenkirchen,Germany,750,6,16.9,6.6,0
2025-09-08,Oberstdorf,Germany,813,5,16,0,0
2025-09-08,Berchtesgaden,Germany,518,6,18.3,0,0
2025-09-08,Feldberg,Germany,1493,7,18.5,14.9,0
2025-09-08,Innsbruck,Austria,574,3,24.9,0,0
2025-09-08,St. Anton am Arlberg,Austria,1304,5,22.8,0,0
2025-09-08,Kitzbühel,Austria,762,3,18.5,0,0
2025-09-08,Salzburg,Austria,424,5,18,24,0
2025-09-08,Bad Gastein,Austria,1002,7,12.1,7.1,0
2025-09-08,Zermatt,Switzerland,1620,4,8.1,10.3,11
2025-09-08,St. Moritz,Switzerland,1856,5,21.5,13.3,21
2025-09-08,Verbier,Switzerland,1500,7,20.5,0,0
2025-09-08,Davos,Switzerland,1560,5,14.6,4.2,14
2025-09-08,Interlaken,Switzerland,568,3,24.1,0,0
2025-09-07,Garmisch-Partenkirchen,Germany,750,3,10.3,14.7,0
2025-09-07,Oberstdorf,Germany,813,7,15.2,0,0
2025-09-07,Berchtesgaden,Germany,518,4,26.1,19.5,0
2025-09-07,Feldberg,Germany,1493,6,9.7,22.5,0
2025-09-07,Innsbruck,Austria,574,3,24,0,0
2025-09-07,St. Anton am Arlberg,Austria,1304,7,19.9,0,0
2025-09-07,Kitzbühel,Austria,762,5,14.8,14,0
2025-09-07,Salzburg,Austria,424,4,25.7,0,0
2025-09-07,Bad Gastein,Austria,1002,4,16.8,0,0
2025-09-07,Zermatt,Switzerland,1620,7,11.3,0,14
2025-09-07,St. Moritz,Switzerland,1856,6,5.4,0,4
2025-09-07,Verbier,Switzerland,1500,7,18,0,0
2025-09-07,Davos,Switzerland,1560,7,19.3,1.8,20
2025-09-07,Interlaken,Switzerland,568,5,12.9,0,0
2025-09-06,Garmisch-Partenkirchen,Germany,750,5,20.4,0,0
2025-09-06,Oberstdorf,Germany,813,4,9.3,0,0
2025-09-06,Berchtesgaden,Germany,518,5,21.2,0,0
2025-09-06,Feldberg,Germany,1493,7,10.2,0,0
2025-09-06,Innsbruck,Austria,574,4,19.6,0,0
2025-09-06,St. Anton am Arlberg,Austria,1304,4,15.5,0,0
2025-09-06,Kitzbühel,Austria,762,5,17.7,22.6,0
2025-09-06,Salzburg,Austria,424,4,28.1,0,0
2025-09-06,Bad Gastein,Austria,1002,6,21.3,24.5,0
2025-09-06,Zermatt,Switzerland,1620,6,14.6,0,6
2025-09-06,St. Moritz,Switzerland,1856,6,21.3,0,17
2025-09-06,Verbier,Switzerland,1500,7,12.8,0,0
2025-09-06,Davos,Switzerland,1560,6,5.1,7.4,17
2025-09-06,Interlaken,Switzerland,568,6,14.7,0,0
2025-09-05,Garmisch-Partenkirchen,Germany,750,3,24.2,0,0
2025-09-05,Oberstdorf,Germany,813,6,19.3,10.4,0
2025-09-05,Berchtesgaden,Germany,518,4,23.9,0,0
2025-09-05,Feldberg,Germany,1493,7,14.4,4.6,0
2025-09-05,Innsbruck,Austria,574,5,21.8,0,0
2025-09-05,St. Anton am Arlberg,Austria,1304,6,21.6,0,0
2025-09-05,Kitzbühel,Austria,762,6,24.8,7.6,0
2025-09-05,Salzburg,Austria,424,3,19.2,17.9,0
2025-09-05,Bad Gastein,Austria,1002,4,14.9,19.2,0
2025-09-05,Zermatt,Switzerland,1620,6,9.9,1.7,3
2025-09-05,St. Moritz,Switzerland,1856,5,11.9,0,22
2025-09-05,Verbier,Switzerland,1500,5,17.4,17.6,0
2025-09-05,Davos,Switzerland,1560,4,9.9,0,16
2025-09-05,Interlaken,Switzerland,568,5,20.2,7.6,0
2025-09-04,Garmisch-Partenkirchen,Germany,750,6,25.4,6.8,0
2025-09-04,Oberstdorf,Germany,813,3,14.1,0,0
2025-09-04,Berchtesgaden,Germany,518,4,14.6,0,0
2025-09-04,Feldberg,Germany,1493,6,16.3,0,0
2025-09-04,Innsbruck,Austria,574,6,18.9,0,0
2025-09-04,St. Anton am Arlberg,Austria,1304,6,16.1,0,0
2025-09-04,Kitzbühel,Austria,762,4,26.6,0,0
2025-09-04,Salzburg,Austria,424,4,11.3,0,0
2025-09-04,Bad Gastein,Austria,1002,3,16.8,0,0
2025-09-04,Zermatt,Switzerland,1620,5,8.9,0,3
2025-09-04,St. Moritz,Switzerland,1856,7,21,18.6,20
2025-09-04,Verbier,Switzerland,1500,4,14.5,18.5,0
2025-09-04,Davos,Switzerland,1560,6,11.4,0,8
2025-09-04,Interlaken,Switzerland,568,5,13.7,0,0
2025-09-03,Garmisch-Partenkirchen,Germany,750,3,25.6,0,0
2025-09-03,Oberstdorf,Germany,813,4,14.4,0.6,0
2025-09-03,Berchtesgaden,Germany,518,5,21.2,0,0
2025-09-03,Feldberg,Germany,1493,4,17.4,0,0
2025-09-03,Innsbruck,Austria,574,5,16.3,0,0
2025-09-03,St. Anton am Arlberg,Austria,1304,4,8.6,2.2,0
2025-09-03,Kitzbühel,Austria,762,3,22.8,0,0
2025-09-03,Salzburg,Austria,424,5,15.2,0,0
2025-09-03,Bad Gastein,Austria,1002,7,18.7,0,0
2025-09-03,Zermatt,Switzerland,1620,5,10.2,0,9
2025-09-03,St. Moritz,Switzerland,1856,8,17.6,0,19
2025-09-03,Verbier,Switzerland,1500,4,3.7,0,0
2025-09-03,Davos,Switzerland,1560,5,18.5,0,15
2025-09-03,Interlaken,Switzerland,568,3,25.4,11.9,0
2025-09-02,Garmisch-Partenkirchen,Germany,750,4,15.6,3.4,0
2025-09-02,Oberstdorf,Germany,813,4,16.9,0,0
2025-09-02,Berchtesgaden,Germany,518,4,27.2,0,0
2025-09-02,Feldberg,Germany,1493,7,19.5,15,0
2025-09-02,Innsbruck,Austria,574,5,14.2,18,0
2025-09-02,St. Anton am Arlberg,Austria,1304,7,12.9,0,0
2025-09-02,Kitzbühel,Austria,762,4,28.5,0.1,0
2025-09-02,Salzburg,Austria,424,6,13.1,0,0
2025-09-02,Bad Gastein,Austria,1002,3,14.4,0,0
2025-09-02,Zermatt,Switzerland,1620,5,7.2,0,3
2025-09-02,St. Moritz,Switzerland,1856,5,8.4,2.1,10
2025-09-02,Verbier,Switzerland,1500,6,9.3,0,0
2025-09-02,Davos,Switzerland,1560,7,6.4,0,19
2025-09-02,Interlaken,Switzerland,568,6,21,0,0
2025-09-01,Garmisch-Partenkirchen,Germany,750,4,20.4,18.6,0
2025-09-01,Oberstdorf,Germany,813,6,19.3,0,0
